model,dependent,variable,coefficient,std_error,t_stat,clustered_std_error,clustered_t_stat,nobs,firm_clusters,within_r2,fixed_effects,holding_excluded,idea
R1 wage_growth_t1_on_payout_assets,wage_growth_lead1,payout_to_assets,-6.121145144800572,11.390854327988889,-0.5373736656222597,9.890695928966963,-0.6188791151564496,10023,783,0.0010642579326227697,firm + fiscal_year,True,공통 분모를 제거하고 주주환원(t)이 다음 해 1인당 인건비 증가율에 미치는지 검정
R1 wage_growth_t1_on_payout_assets,wage_growth_lead1,operating_margin_clean,-0.5932918397466963,1.1054271725205058,-0.5367082106312985,1.1374217904218704,-0.521611107456139,10023,783,0.0010642579326227697,firm + fiscal_year,True,공통 분모를 제거하고 주주환원(t)이 다음 해 1인당 인건비 증가율에 미치는지 검정
R1 wage_growth_t1_on_payout_assets,wage_growth_lead1,sales_growth_clean,0.608666199944847,0.4851762743395339,1.254525895301494,0.6168204605215623,0.986780171705361,10023,783,0.0010642579326227697,firm + fiscal_year,True,공통 분모를 제거하고 주주환원(t)이 다음 해 1인당 인건비 증가율에 미치는지 검정
R1 wage_growth_t1_on_payout_assets,wage_growth_lead1,debt_ratio_clean,0.027421555286868658,0.09618782561312338,0.2850834303829756,0.0472579106206974,0.5802532301302995,10023,783,0.0010642579326227697,firm + fiscal_year,True,공통 분모를 제거하고 주주환원(t)이 다음 해 1인당 인건비 증가율에 미치는지 검정
R1 wage_growth_t1_on_payout_assets,wage_growth_lead1,log_assets,1.0192183881352135,0.35782990031168826,2.848332090882908,0.6804327341039011,1.4978973483359492,10023,783,0.0010642579326227697,firm + fiscal_year,True,공통 분모를 제거하고 주주환원(t)이 다음 해 1인당 인건비 증가율에 미치는지 검정
R2 employment_growth_t1_on_payout_assets,employee_count_growth_clean_lead1,payout_to_assets,1.4645694561243687,0.44532925875963447,3.28873395878726,1.2828943115791684,1.1416134929474968,10023,783,0.0055256266668530785,firm + fiscal_year,True,주주환원(t)이 다음 해 고용 증가율에 미치는지 검정
R2 employment_growth_t1_on_payout_assets,employee_count_growth_clean_lead1,operating_margin_clean,0.14455403149794643,0.04321704493592886,3.34483840142828,0.061319072854995355,2.3574073247940563,10023,783,0.0055256266668530785,firm + fiscal_year,True,주주환원(t)이 다음 해 고용 증가율에 미치는지 검정
R2 employment_growth_t1_on_payout_assets,employee_count_growth_clean_lead1,sales_growth_clean,-0.018418457646629065,0.018968128675694577,-0.9710213359228288,0.021147162258626014,-0.8709659206930283,10023,783,0.0055256266668530785,firm + fiscal_year,True,주주환원(t)이 다음 해 고용 증가율에 미치는지 검정
R2 employment_growth_t1_on_payout_assets,employee_count_growth_clean_lead1,debt_ratio_clean,-0.010085972569202288,0.0037604952050647455,-2.6820862730042054,0.0021738429506770567,-4.639696978137703,10023,783,0.0055256266668530785,firm + fiscal_year,True,주주환원(t)이 다음 해 고용 증가율에 미치는지 검정
R2 employment_growth_t1_on_payout_assets,employee_count_growth_clean_lead1,log_assets,-0.05944339815081937,0.013989479601744011,-4.249150064410459,0.016416086995497018,-3.621045512680633,10023,783,0.0055256266668530785,firm + fiscal_year,True,주주환원(t)이 다음 해 고용 증가율에 미치는지 검정
R3 log_wage_level_on_payout_assets,log_per_employee_labor_cost,payout_to_assets,1.0926777748838763,0.26975528692288636,4.050625985307323,0.3869179918241482,2.8240552209329453,9594,779,0.012678233955606744,firm + fiscal_year,True,수준식에서 같은 분모 없이 주주환원 성향과 1인당 인건비 수준의 관계 검정
R3 log_wage_level_on_payout_assets,log_per_employee_labor_cost,operating_margin_clean,0.18919277935211093,0.02615876646975932,7.232480918808846,0.0776434964450245,2.4366854664520283,9594,779,0.012678233955606744,firm + fiscal_year,True,수준식에서 같은 분모 없이 주주환원 성향과 1인당 인건비 수준의 관계 검정
R3 log_wage_level_on_payout_assets,log_per_employee_labor_cost,sales_growth_clean,-0.0676196736265084,0.011276398065869527,-5.996566743344585,0.01863347985637206,-3.6289342703415977,9594,779,0.012678233955606744,firm + fiscal_year,True,수준식에서 같은 분모 없이 주주환원 성향과 1인당 인건비 수준의 관계 검정
R3 log_wage_level_on_payout_assets,log_per_employee_labor_cost,debt_ratio_clean,-0.0012405690315869461,0.0022071670672782727,-0.5620639461229053,0.003579811502045042,-0.3465459091570171,9594,779,0.012678233955606744,firm + fiscal_year,True,수준식에서 같은 분모 없이 주주환원 성향과 1인당 인건비 수준의 관계 검정
R3 log_wage_level_on_payout_assets,log_per_employee_labor_cost,log_assets,-0.0446988123961821,0.008941991860419633,-4.998753420256911,0.023542159647030002,-1.8986708554506446,9594,779,0.012678233955606744,firm + fiscal_year,True,수준식에서 같은 분모 없이 주주환원 성향과 1인당 인건비 수준의 관계 검정
R4 wage_growth_t1_dividend_vs_buyback,wage_growth_lead1,dividend_to_assets,-13.87469207594617,18.24907145183513,-0.7602957834082528,25.322956240984205,-0.5479096494069886,10023,783,0.001093575942202607,firm + fiscal_year,True,배당형 환원과 자사주형 환원의 이질성 검정
R4 wage_growth_t1_dividend_vs_buyback,wage_growth_lead1,buyback_to_assets,-0.6500825170689295,18.945441598077565,-0.03431340007059507,2.363276221120356,-0.2750768239697116,10023,783,0.001093575942202607,firm + fiscal_year,True,배당형 환원과 자사주형 환원의 이질성 검정
R4 wage_growth_t1_dividend_vs_buyback,wage_growth_lead1,operating_margin_clean,-0.5291630865756936,1.1117934377706533,-0.4759544971202215,1.011896493599511,-0.5229419114729397,10023,783,0.001093575942202607,firm + fiscal_year,True,배당형 환원과 자사주형 환원의 이질성 검정
R4 wage_growth_t1_dividend_vs_buyback,wage_growth_lead1,sales_growth_clean,0.6147822450317322,0.48539083094058694,1.2665716075444018,0.6281339950038295,0.9787437870290464,10023,783,0.001093575942202607,firm + fiscal_year,True,배당형 환원과 자사주형 환원의 이질성 검정
R4 wage_growth_t1_dividend_vs_buyback,wage_growth_lead1,debt_ratio_clean,0.02443376238224061,0.09635137073056636,0.25359018970852354,0.041607305144393675,0.5872469341007754,10023,783,0.001093575942202607,firm + fiscal_year,True,배당형 환원과 자사주형 환원의 이질성 검정
R4 wage_growth_t1_dividend_vs_buyback,wage_growth_lead1,log_assets,1.0195542161685287,0.357814678485137,2.849391815017112,0.6804334125857989,1.498389404914722,10023,783,0.001093575942202607,firm + fiscal_year,True,배당형 환원과 자사주형 환원의 이질성 검정
R5 wage_growth_t1_on_payout_net_income,wage_growth_lead1,payout_to_positive_net_income,-0.320548601381352,0.26059737622091117,-1.230053065114591,0.3477647486303429,-0.921739775649543,7580,769,0.002103420195845973,firm + fiscal_year,True,순이익 대비 주주환원율을 사용한 강건성 검정
R5 wage_growth_t1_on_payout_net_income,wage_growth_lead1,operating_margin_clean,-2.1936217336430244,2.0948790328878015,-1.0471352756913632,2.426077273557737,-0.9041846100912413,7580,769,0.002103420195845973,firm + fiscal_year,True,순이익 대비 주주환원율을 사용한 강건성 검정
R5 wage_growth_t1_on_payout_net_income,wage_growth_lead1,sales_growth_clean,0.8943450820394088,0.6786457313675992,1.3178379244162262,0.8287490331314844,1.0791506792593957,7580,769,0.002103420195845973,firm + fiscal_year,True,순이익 대비 주주환원율을 사용한 강건성 검정
R5 wage_growth_t1_on_payout_net_income,wage_growth_lead1,debt_ratio_clean,0.196389952690036,0.2480037338939446,0.7918830479141878,0.27713019286433144,0.7086559232691703,7580,769,0.002103420195845973,firm + fiscal_year,True,순이익 대비 주주환원율을 사용한 강건성 검정
R5 wage_growth_t1_on_payout_net_income,wage_growth_lead1,log_assets,1.7312214638818548,0.5530359967462654,3.130395623553135,1.1599692354053641,1.492471878598453,7580,769,0.002103420195845973,firm + fiscal_year,True,순이익 대비 주주환원율을 사용한 강건성 검정
R6 wage_growth_t2_on_payout_assets,wage_growth_lead2,payout_to_assets,-7.734961436584165,12.497435328754547,-0.6189239018334657,14.32744318648379,-0.5398703268899482,9240,764,0.0024239058570210137,firm + fiscal_year,True,2년 뒤 임금 증가율에 대한 동태 효과 검정
R6 wage_growth_t2_on_payout_assets,wage_growth_lead2,operating_margin_clean,-0.3154842342353117,1.2245566957880003,-0.25763138229569527,2.025762573722034,-0.15573603655617788,9240,764,0.0024239058570210137,firm + fiscal_year,True,2년 뒤 임금 증가율에 대한 동태 효과 검정
R6 wage_growth_t2_on_payout_assets,wage_growth_lead2,sales_growth_clean,1.136955388660424,0.5252718646005876,2.164508448448796,1.6682961378689047,0.6815069356408031,9240,764,0.0024239058570210137,firm + fiscal_year,True,2년 뒤 임금 증가율에 대한 동태 효과 검정
R6 wage_growth_t2_on_payout_assets,wage_growth_lead2,debt_ratio_clean,0.06132449628767704,0.10571459570469958,0.5800948854685998,0.05875975748459272,1.043647879311905,9240,764,0.0024239058570210137,firm + fiscal_year,True,2년 뒤 임금 증가율에 대한 동태 효과 검정
R6 wage_growth_t2_on_payout_assets,wage_growth_lead2,log_assets,1.5557734300727424,0.3992478470295996,3.8967609760395274,1.0665524756941627,1.4586937497474484,9240,764,0.0024239058570210137,firm + fiscal_year,True,2년 뒤 임금 증가율에 대한 동태 효과 검정
