available_date,rows,tickers,value_score_missing,quality_score_missing,growth_score_missing,composite_score_missing
2007-04-30,1,1,1.0,1.0,1.0,1
2007-06-30,65,65,0.0,0.0,0.0,0
2007-09-30,14,14,0.0,0.0,0.0,0
2007-12-31,10,10,0.0,0.0,0.0,0
2008-01-31,2,2,2.0,2.0,2.0,2
2008-02-29,2,2,2.0,2.0,2.0,2
2008-03-31,746,746,0.0,0.0,0.0,0
2008-04-30,1,1,1.0,1.0,1.0,1
2008-06-30,63,63,0.0,0.0,0.0,0
2008-09-30,14,14,0.0,0.0,0.0,0
2008-12-31,7,7,0.0,0.0,0.0,0
2009-01-31,2,2,2.0,2.0,2.0,2
2009-02-28,2,2,2.0,2.0,2.0,2
2009-03-31,766,766,0.0,0.0,0.0,0
2009-04-30,1,1,1.0,1.0,1.0,1
2009-06-30,63,63,0.0,0.0,0.0,0
2009-09-30,11,11,0.0,0.0,0.0,0
2009-12-31,6,6,0.0,0.0,0.0,0
2010-01-31,1,1,1.0,1.0,1.0,1
2010-02-28,1,1,1.0,1.0,1.0,1
2010-03-31,763,763,0.0,0.0,0.0,0
2010-04-30,1,1,1.0,1.0,1.0,1
2010-06-30,59,59,0.0,0.0,0.0,0
2010-09-30,12,12,0.0,0.0,0.0,0
2010-12-31,6,6,0.0,0.0,0.0,0
2011-02-28,1,1,1.0,1.0,1.0,1
2011-03-31,758,758,0.0,0.0,0.0,0
2011-04-30,1,1,1.0,1.0,1.0,1
2011-06-30,58,58,0.0,0.0,0.0,0
2011-09-30,12,12,0.0,0.0,0.0,0
2011-12-31,5,5,0.0,0.0,0.0,0
2012-02-29,1,1,1.0,1.0,1.0,1
2012-03-31,761,761,0.0,0.0,0.0,0
2012-04-30,1,1,1.0,1.0,1.0,1
2012-06-30,55,55,0.0,0.0,0.0,0
2012-09-30,8,8,0.0,0.0,0.0,0
2012-12-31,5,5,0.0,0.0,0.0,0
2013-02-28,1,1,1.0,1.0,1.0,1
2013-03-31,756,756,0.0,0.0,0.0,0
2013-06-30,53,53,0.0,0.0,0.0,0
2013-09-30,5,5,0.0,0.0,0.0,0
2013-12-31,4,4,0.0,0.0,0.0,0
2014-02-28,1,1,1.0,1.0,1.0,1
2014-03-31,793,793,0.0,0.0,0.0,0
2014-06-30,15,15,0.0,0.0,0.0,0
2014-09-30,6,6,0.0,0.0,0.0,0
2014-12-31,3,3,0.0,0.0,0.0,0
2015-02-28,1,1,1.0,1.0,1.0,1
2015-03-31,796,796,0.0,0.0,0.0,0
2015-06-30,11,11,0.0,0.0,0.0,0
2015-09-30,6,6,0.0,0.0,0.0,0
2015-12-31,2,2,2.0,2.0,2.0,2
2016-02-29,1,1,1.0,1.0,1.0,1
2016-03-31,794,794,0.0,0.0,0.0,0
2016-06-30,10,10,0.0,0.0,0.0,0
2016-09-30,5,5,0.0,0.0,0.0,0
2016-12-31,2,2,2.0,2.0,2.0,2
2017-02-28,1,1,1.0,1.0,1.0,1
2017-03-31,787,787,0.0,0.0,0.0,0
2017-06-30,9,9,0.0,0.0,0.0,0
2017-09-30,5,5,0.0,0.0,0.0,0
2017-12-31,2,2,2.0,2.0,2.0,2
2018-02-28,1,1,1.0,1.0,1.0,1
2018-03-31,805,805,0.0,0.0,0.0,0
2018-06-30,6,6,0.0,0.0,0.0,0
2018-09-30,5,5,0.0,0.0,0.0,0
2018-12-31,2,2,2.0,2.0,2.0,2
2019-02-28,1,1,1.0,1.0,1.0,1
2019-03-31,810,810,0.0,0.0,0.0,0
2019-06-30,6,6,0.0,0.0,0.0,0
2019-09-30,5,5,0.0,0.0,0.0,0
2019-12-31,2,2,2.0,2.0,2.0,2
2020-02-29,1,1,1.0,1.0,1.0,1
2020-03-31,812,812,0.0,0.0,0.0,0
2020-06-30,6,6,0.0,0.0,0.0,0
2020-09-30,6,6,0.0,0.0,0.0,0
2020-12-31,2,2,2.0,2.0,2.0,2
2021-02-28,1,1,1.0,1.0,1.0,1
2021-03-31,811,811,0.0,0.0,0.0,0
2021-06-30,5,5,0.0,0.0,0.0,0
2021-09-30,6,6,0.0,0.0,0.0,0
2021-12-31,2,2,2.0,2.0,2.0,2
2022-02-28,1,1,1.0,1.0,1.0,1
2022-03-31,812,812,0.0,0.0,0.0,0
2022-06-30,5,5,0.0,0.0,0.0,0
2022-09-30,6,6,0.0,0.0,0.0,0
2022-12-31,2,2,2.0,2.0,2.0,2
2023-02-28,1,1,1.0,1.0,1.0,1
2023-03-31,810,810,0.0,0.0,0.0,0
2023-06-30,5,5,0.0,0.0,0.0,0
2023-09-30,6,6,0.0,0.0,0.0,0
2023-12-31,2,2,2.0,2.0,2.0,2
2024-02-29,1,1,1.0,1.0,1.0,1
2024-03-31,813,813,0.0,0.0,0.0,0
2024-06-30,5,5,0.0,0.0,0.0,0
2024-09-30,5,5,0.0,0.0,0.0,0
2024-12-31,2,2,2.0,2.0,2.0,2
2025-02-28,1,1,1.0,1.0,1.0,1
2025-03-31,813,813,0.0,0.0,0.0,0
2025-06-30,5,5,0.0,0.0,0.0,0
2025-09-30,5,5,0.0,0.0,0.0,0
2025-12-31,2,2,2.0,2.0,2.0,2
2026-02-28,1,1,1.0,1.0,1.0,1
2026-03-31,800,800,0.0,0.0,0.0,0
2026-06-30,4,4,0.0,0.0,0.0,0
