year,rows,tickers,min_date,max_date,duplicate_ticker_dates
2007,29642,124,2007-01-02,2007-12-28,0
2008,31025,127,2008-01-02,2008-12-30,0
2009,32500,132,2009-01-02,2009-12-30,0
2010,34133,138,2010-01-04,2010-12-30,0
2011,35454,146,2011-01-03,2011-12-29,0
2012,36317,148,2012-01-02,2012-12-28,0
2013,36796,152,2013-01-02,2013-12-30,0
2014,37543,157,2014-01-02,2014-12-30,0
2015,39038,159,2015-01-02,2015-12-30,0
2016,39180,161,2016-01-04,2016-12-29,0
2017,40077,169,2017-01-02,2017-12-28,0
2018,41917,174,2018-01-02,2018-12-28,0
2019,43245,177,2019-01-02,2019-12-30,0
2020,44074,179,2020-01-02,2020-12-30,0
2021,45584,189,2021-01-04,2021-12-30,0
2022,46722,190,2022-01-03,2022-12-29,0
2023,46927,194,2023-01-02,2023-12-28,0
2024,47804,197,2024-01-02,2024-12-30,0
2025,48072,200,2025-01-02,2025-12-30,0
2026,24000,200,2026-01-02,2026-06-30,0
