ticker,weight
000990,0.02949932177333219
097950,0.021770306598785958
002030,0.020514704593409087
035420,0.02040267481330768
012450,0.0203090171357398
268280,0.020179525868596847
456040,0.019522808963709223
483650,0.019213464102748518
010950,0.018196102291442584
005300,0.01750253047688377
069620,0.017389125682126378
032640,0.0171922241137034
185750,0.017183210498443954
000810,0.016534506734508563
000080,0.01649324046559182
030200,0.016374126880523327
036460,0.015999305916249127
004370,0.015573037768284849
029780,0.01524634961257165
282330,0.01497733440979841
259960,0.014433591642212296
062040,0.014421352521711488
017670,0.014302065518777909
033780,0.014269063893378455
207940,0.013904929285107276
024110,0.013761214007204195
402340,0.013452464337514087
035250,0.013355633725381547
007310,0.012887428002472383
047810,0.012710828282401743
