window_end_date,asset_count,effective_weight_count,top_weight,top5_weight_sum,turnover_vs_prev_window
2025-12-30,200,127.33127630806017,0.021094262442651016,0.10134929097389754,
2026-01-15,200,162.2564848131671,0.02268930148803291,0.09494726821230469,0.22867676180737562
2026-01-29,200,134.3434952466546,0.0368041441065642,0.11663486579869803,0.21455431887805262
2026-02-12,200,159.5396999707707,0.0209704762276111,0.09805088474244213,0.3128725545104943
2026-03-04,200,99.65162378230181,0.030956089655073092,0.1313663522134516,0.3068451219452882
2026-03-18,200,98.45967677512498,0.030896917346521616,0.12980387249559508,0.11653572888679684
2026-04-01,200,101.1620820603183,0.03159093207116033,0.12733249458536575,0.16679246005949558
2026-04-15,200,105.74808645006097,0.033033183495569586,0.12353336195646619,0.21603341043803798
2026-04-29,200,130.21909907280497,0.023465296859542656,0.10632384887381982,0.18503347904747236
2026-05-15,200,150.29680039319243,0.02008130328388747,0.09383040418858321,0.32146849437070346
2026-06-01,200,151.3064587055221,0.023189106328357117,0.10291550927255373,0.34403628102853084
2026-06-16,200,121.6030757635038,0.02325126402697988,0.11160009317015838,0.24700777320114367
2026-06-30,200,111.79596267911744,0.02949932177333219,0.11249602491457472,0.2168190378520325
