strategy_id,strategy_name,category,description,days,total_return,cagr,annualized_volatility,sharpe,max_drawdown,win_rate,benchmark_total_return,active_total_return,tracking_error,information_ratio,average_turnover,rebalance_count,benchmark_type,benchmark_path
ml_predicted_return,ML Predicted Return,machine_learning,Ridge 모델의 1개월 초과수익률 예측치를 랭킹 신호로 사용,4661,37.1216957160248,0.21755084138058556,0.24985002022260122,0.8707257305273017,-0.5285700163472463,0.5477365372237717,6.9401504405704895,3.801130155071194,0.10435002424727147,0.9125052177486669,0.25447870778267256,227,universe_equal_weight,
balanced_multifactor,Balanced Multi-Factor,multi_factor,"Value, Quality, Growth, Momentum, Low Volatility 균형 결합",4661,24.317284806837986,0.1909037445627475,0.2137185501688863,0.8932483605746441,-0.4819658547984307,0.5513838232139026,6.9401504405704895,2.1885144993573915,0.0976051625153325,0.6624351538096748,0.2140969162995595,227,universe_equal_weight,
value_momentum_barbell,Value + Momentum Barbell,multi_factor,저평가와 가격추세를 동시에 요구하는 실무형 조합,4661,27.395955155153466,0.19831572374070672,0.23209348704126945,0.8544648377205148,-0.5008782540483093,0.5447328899377816,6.9401504405704895,2.5762490103541733,0.1195296329079974,0.627355147290792,0.2261380323054332,227,universe_equal_weight,
price_momentum,Price Momentum,price,12개월-1개월 가격 모멘텀이 강한 종목 선호,4661,30.217148906909042,0.20446821386375902,0.24386186205197058,0.8384591675929376,-0.5191356762744397,0.5397983265393692,6.9401504405704895,2.9315563528121427,0.13578754787116806,0.6105993858659814,0.22070484581497798,227,universe_equal_weight,
momentum_growth_aggressive,Momentum + Growth Aggressive,aggressive,강한 가격추세와 실적 성장성을 결합한 공격형 알파 전략,4661,24.60792205442974,0.19163891036055491,0.23848860553589696,0.8035558341662982,-0.5139211807432111,0.5408710577129371,6.9401504405704895,2.225117993178709,0.12986024985546052,0.5459419110156749,0.21336270190895743,227,universe_equal_weight,
earnings_growth,Earnings Growth,fundamental,실적 성장성과 개선 흐름이 강한 종목 선호,4661,13.799951315729638,0.15683357412996957,0.22186179145305238,0.706897628035951,-0.5165659742081896,0.5494529071014803,6.9401504405704895,0.8639384009789972,0.07248702620822525,0.5162281183546197,0.08773861967694566,227,universe_equal_weight,
deep_value,Deep Value,valuation,저평가 종목군에 집중하는 전통적 가치 전략,4661,13.8618156606426,0.15709449890671667,0.22783227602904302,0.689518191385188,-0.6460310379457332,0.5436601587642137,6.9401504405704895,0.8717297325634548,0.08415895267507993,0.46341466521569125,0.04265785609397944,227,universe_equal_weight,
quality_compounder,Quality Compounder,fundamental,"수익성, 안정성, 재무 건전성이 우수한 기업 선호",4661,10.776772957516313,0.14263029484962342,0.20799133549002638,0.685751137246113,-0.5040510980712658,0.5445183437030681,6.9401504405704895,0.4831926731945102,0.07616347205505328,0.2893020060414752,0.03604992657856094,227,universe_equal_weight,
quality_low_vol_defensive,Quality + Low Vol Defensive,defensive,하락장 대응을 의식한 퀄리티와 저변동성 중심 전략,4661,6.162208387629655,0.11231724457856895,0.20719062989309778,0.5420961586753235,-0.4822211203929334,0.5365801330186655,6.9401504405704895,-0.09797573216823585,0.07989423886319919,-0.06290620980286935,0.16696035242290752,227,universe_equal_weight,
low_volatility,Low Volatility,defensive,낙폭과 변동성이 낮은 방어적 종목 선호,4661,3.916969805066593,0.08992616373231277,0.21923763589806186,0.41017667137281766,-0.5380849120191119,0.5290710148036902,6.9401504405704895,-0.3807460145914673,0.09196875900675885,-0.24772502043370165,0.18663729809104254,227,universe_equal_weight,
